Name,Conditon,Target Character,Block Count,Time
Logan,static,y,6,1.460930347
Logan,static,t,6,4.276756048
Logan,static,w,6,2.391786337
Logan,static,s,6,2.671080589
Logan,static,r,6,2.672746897
Logan,static,j,6,1.261437654
Logan,static,r,5,4.415924311
Logan,static,w,5,1.241749525
Logan,static,j,5,1.11611867
Logan,static,y,5,1.373696089
Logan,static,t,5,3.475405931
Logan,static,s,5,5.221551418
Logan,static,s,4,0.99336338
Logan,static,y,4,0.99580121
Logan,static,w,4,1.504374266
Logan,static,t,4,4.09243536
Logan,static,j,4,1.268055677
Logan,static,r,4,3.878332853
Logan,static,y,3,1.069231272
Logan,static,t,3,3.181670427
Logan,static,j,3,0.981797218
Logan,static,r,3,1.772500515
Logan,static,w,3,1.143819094
Logan,static,s,3,1.37010932
Logan,static,s,2,0.811960459
Logan,static,j,2,0.950619221
Logan,static,r,2,1.894407749
Logan,static,w,2,0.988407135
Logan,static,t,2,3.14952445
Logan,static,y,2,0.9718678
Logan,static,r,1,1.083794355
Logan,static,y,1,1.17342186
Logan,static,w,1,1.133589029
Logan,static,t,1,1.935110569
Logan,static,j,1,1.679736853
Logan,static,s,1,2.649583101
